Latitude,Longitude,Elevation
46.34140004,6.484426189,547.0
46.34126436,6.484597221,547.0
46.34111255,6.484736952,547.0
46.34096779,6.484891579,548.0
46.34082299,6.485046129,548.0
46.34068129,6.485206606,549.0
46.34055576,6.485393194,550.0
46.34043184,6.485582020,552.0
46.34029447,6.485750193,553.0
46.34013513,6.485871054,555.0
46.33997398,6.485986768,557.0
46.33981276,6.486102275,559.0
46.33965740,6.486233547,560.0
46.33950419,6.486370033,562.0
46.33934844,6.486500326,564.0
46.33918277,6.486601762,566.0
46.33902751,6.486733279,569.0
46.33886233,6.486836370,570.0
46.33868989,6.486910384,572.0
46.33853309,6.487038016,573.0
46.33839280,6.487201043,575.0
46.33824280,6.487344812,576.0
46.33809554,6.487494386,576.0
46.33795143,6.487650275,576.0
46.33781785,6.487824722,576.0
46.33767365,6.487980438,576.0
46.33752941,6.488136079,575.0
46.33738335,6.488288103,575.0
46.33724696,6.488457942,574.0
46.33711467,6.488634438,574.0
46.33697448,6.488797648,573.0
46.33683668,6.488965076,573.0
46.33669562,6.489126696,572.0
46.33655719,6.489293036,573.0
46.33641465,6.489451910,573.0
46.33627006,6.489606863,574.0
46.33612221,6.489755216,575.0
46.33597882,6.489912475,575.0
46.33583788,6.490074303,575.0
46.33571317,6.490262003,576.0
46.33561183,6.490477220,577.0
