Latitude,Longitude,Elevation
46.34140004,6.484426189,547.0
46.34126436,6.484597221,547.0
46.34111255,6.484736952,547.0
46.34096779,6.484891579,548.0
46.34082299,6.485046129,548.0
46.34068129,6.485206606,549.0
46.34055576,6.485393194,550.0
46.34043184,6.485582020,552.0
46.34029447,6.485750193,553.0
46.34013513,6.485871054,555.0
46.33997398,6.485986768,557.0
46.33981276,6.486102275,559.0
46.33965740,6.486233547,560.0
46.33950419,6.486370033,562.0
46.33934844,6.486500326,564.0
46.33918277,6.486601762,566.0
46.33902751,6.486733279,569.0
46.33886233,6.486836370,570.0
46.33868989,6.486910384,572.0
46.33853309,6.487038016,573.0
46.33839280,6.487201043,575.0
46.33824280,6.487344812,576.0
46.33809554,6.487494386,576.0
46.33795143,6.487650275,576.0
46.33781785,6.487824722,576.0
46.33767365,6.487980438,576.0
46.33752941,6.488136079,575.0
46.33738335,6.488288103,575.0
46.33724696,6.488457942,574.0
46.33711467,6.488634438,574.0
46.33697448,6.488797648,573.0
46.33683668,6.488965076,573.0
46.33669562,6.489126696,572.0
46.33655719,6.489293036,573.0
46.33641465,6.489451910,573.0
46.33627006,6.489606863,574.0
46.33612221,6.489755216,575.0
46.33597882,6.489912475,575.0
46.33583788,6.490074303,575.0
46.33571317,6.490262003,576.0
46.33561183,6.490477220,577.0
46.33549905,6.490680150,577.0
46.33537624,6.490870471,577.0
46.33525333,6.491060663,577.0
46.33512834,6.491247985,577.0
46.33500461,6.491437063,577.0
46.33488443,6.491630890,577.0
46.33477290,6.491834946,577.0
46.33473149,6.492085088,577.0
46.33482098,6.492310616,578.0
46.33494488,6.492499460,579.0
46.33506974,6.492686685,580.0
46.33517088,6.492902093,580.0
46.33526947,6.493119973,581.0
46.33537253,6.493333474,582.0
46.33547386,6.493548708,582.0
46.33557300,6.493766065,582.0
46.33567140,6.493984115,582.0
46.33577597,6.494196052,582.0
46.33588851,6.494399247,582.0
46.33600824,6.494593634,582.0
46.33613459,6.494778990,582.0
46.33626946,6.494951329,582.0
46.33640978,6.495114299,582.0
46.33654536,6.495285158,582.0
46.33665673,6.495489123,582.0
46.33673447,6.495723620,581.0
46.33684962,6.495920747,582.0
46.33700839,6.496040988,583.0
46.33712866,6.496228768,585.0
46.33717677,6.496479727,587.0
46.33721118,6.496734919,589.0
46.33721152,6.496994439,591.0
46.33716951,6.497247298,594.0
46.33709607,6.497483189,596.0
46.33696552,6.497649003,597.0
46.33679443,6.497726444,597.0
46.33663998,6.497855990,598.0
46.33650212,6.498022935,597.0
46.33636048,6.498182909,596.0
46.33623884,6.498372435,595.0
46.33614618,6.498595411,594.0
46.33606895,6.498830382,594.0
46.33600590,6.499074286,594.0
46.33594343,6.499318222,593.0
46.33586257,6.499550507,593.0
46.33576966,6.499773564,592.0
46.33567465,6.499994579,592.0
46.33555534,6.500183305,591.0
46.33539590,6.500298625,591.0
46.33522395,6.500374761,590.0
46.33505779,6.500472580,590.0
46.33489478,6.500581054,590.0
46.33472902,6.500680330,590.0
46.33458899,6.500835308,590.0
46.33447729,6.501039488,590.0
46.33436516,6.501243164,590.0
46.33425295,6.501446749,591.0
46.33414105,6.501650687,591.0
46.33402222,6.501845831,591.0
46.33389560,6.502030841,592.0
46.33376465,6.502209120,592.0
46.33362554,6.502374122,592.0
46.33348632,6.502538845,591.0
46.33336078,6.502724112,591.0
46.33327627,6.502947833,591.0
46.33324318,6.503202938,592.0
46.33323939,6.503462569,592.0
46.33326546,6.503719300,592.0
46.33331877,6.503967518,591.0
46.33338856,6.504207489,591.0
46.33346566,6.504442810,594.0
46.33354909,6.504673498,595.0
46.33364084,6.504897449,597.0
46.33374091,6.505113787,599.0
46.33385001,6.505320695,601.0
46.33396696,6.505518548,603.0
46.33408906,6.505709772,604.0
46.33421667,6.505893239,604.0
46.33434407,6.506076959,606.0
46.33445491,6.506280656,607.0
